# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1067
#@/user_id	fwar34_rime_sync
mo fa 	魔法	c=2 d=0.179667 t=1067
mo ni 	模擬	c=1 d=0.421052 t=1067
mo shou shi jie 	魔獸世界	c=1 d=0.946485 t=1067
mu lu 	目錄	c=6 d=1.1451 t=1067
mu xia 	目下	c=1 d=0.194952 t=1067
nao dai 	腦袋	c=1 d=0.767206 t=1067
nei rong 	內容	c=2 d=0.202657 t=1067
neng gou 	能夠	c=0 d=0.0140156 t=1067
ni 	伲	c=1 d=0.980199 t=1067
ni 	你	c=54 d=20.6991 t=1067
ni 	隬	c=1 d=0.970446 t=1067
ni chang cao ma an 	你嘗草馬鞍	c=1 d=0.774916 t=1067
ni de 	你的	c=2 d=1.8426 t=1067
ni hao 	你好	c=6 d=3.40429 t=1067
ni hao chou ma 	你好籌碼	c=1 d=0.873716 t=1067
ni hao de 	你好的	c=2 d=1.57302 t=1067
ni hao ma 	你好嗎	c=35 d=22.2946 t=1067
ni ming 	匿名	c=1 d=0.307279 t=1067
ni zhi 	你只	c=0 d=0.0767206 t=1067
ni zhi da ou 	你直達偶	c=1 d=0.0387742 t=1067
ni zhi dao 	你知道	c=7 d=5.66521 t=1067
ni zhi dao dao de 	你知道道德	c=1 d=0.618783 t=1067
ni zhi dao de 	你只道德	c=1 d=0.771052 t=1067
ni zhi dao de 	你知道的	c=46 d=29.4687 t=1067
ni zhi dao de ba 	你知道的吧	c=1 d=0.718924 t=1067
ni zhi dao de en 	你知道的恩	c=2 d=1.76063 t=1067
ni zhi dao de wei 	你知道的爲	c=1 d=0.167797 t=1067
ni zhuo dao de 	你捉到的	c=1 d=0.932394 t=1067
ou 	偶	c=0 d=0.160946 t=1067
pan duan 	判斷	c=2 d=0.465334 t=1067
ping guo 	蘋果	c=1 d=0.927743 t=1067
ping tai 	平臺	c=1 d=0.372608 t=1067
qi 	其	c=1 d=0.0824965 t=1067
qi ta 	其他	c=1 d=0.346456 t=1067
qi ta di fang 	其他地方	c=0 d=0.0392586 t=1067
qie huan 	切換	c=13 d=7.46192 t=1067
qie huan wei 	切換爲	c=1 d=0.740818 t=1067
qie pian 	切片	c=2 d=0.937438 t=1067
qiu zhi 	求值	c=2 d=0.616422 t=1067
qu 	去	c=6 d=1.47282 t=1067
qu chong 	去重	c=3 d=0.214597 t=1067
qu fen 	區分	c=2 d=0.670772 t=1067
quan 	全	c=0 d=0.0244143 t=1067
quan ping tai 	全平臺	c=1 d=0.245367 t=1067
quan ti 	全體	c=7 d=4.531 t=1067
ran hou 	然後	c=1 d=0.0889216 t=1067
rang 	讓	c=1 d=0.113042 t=1067
ru 	入	c=1 d=0.474734 t=1067
ru 	如	c=1 d=0.0587185 t=1067
ru guo 	如果	c=1 d=0.14808 t=1067
ru hui 	入會	c=0 d=0.0126268 t=1067
ru hui hou 	入會後	c=1 d=0.063609 t=1067
san ge 	三個	c=0 d=0.0416862 t=1067
san ge zhi 	三個值	c=1 d=0.418952 t=1067
shang mian 	上面	c=1 d=0.168638 t=1067
shang shu 	上述	c=1 d=0.150318 t=1067
she zhi 	設置	c=4 d=2.3618 t=1067
